date,discharge_to_sea_m3s
2025-01-01,53849.9
2025-01-02,54484.1
2025-01-03,53366.2
2025-01-04,57262.9
2025-01-05,57109.6
2025-01-06,57574.0
2025-01-07,56749.5
2025-01-08,55937.2
2025-01-09,55300.8
2025-01-10,55159.8
2025-01-11,55005.7
2025-01-12,53312.4
2025-01-13,51674.0
2025-01-14,50527.7
2025-01-15,51094.1
2025-01-16,50957.2
2025-01-17,49957.3
2025-01-18,48956.3
2025-01-19,49005.3
2025-01-20,48260.9
2025-01-21,48109.7
2025-01-22,48462.2
2025-01-23,48257.1
2025-01-24,47966.2
2025-01-25,47473.7
2025-01-26,46485.3
2025-01-27,45852.6
2025-01-28,45113.6
2025-01-29,45057.0
2025-01-30,44954.7
2025-01-31,44532.8
2025-02-01,44288.2
2025-02-02,43859.0
2025-02-03,43352.2
2025-02-04,42922.7
2025-02-05,42506.4
2025-02-06,42086.0
2025-02-07,41744.6
2025-02-08,41474.0
2025-02-09,41255.2
2025-02-10,40895.8
2025-02-11,40704.5
2025-02-12,40493.6
2025-02-13,40319.3
2025-02-14,40113.5
2025-02-15,39910.0
2025-02-16,39685.2
2025-02-17,39539.9
2025-02-18,39338.5
2025-02-19,39117.6
2025-02-20,39156.5
2025-02-21,39529.4
2025-02-22,41511.3
2025-02-23,43839.0
2025-02-24,43888.1
2025-02-25,43010.5
2025-02-26,42716.8
2025-02-27,42714.8
2025-02-28,43961.1
2025-03-01,45627.9
2025-03-02,49760.3
2025-03-03,45092.5
2025-03-04,45963.3
2025-03-05,45194.5
2025-03-06,44849.1
2025-03-07,47688.7
2025-03-08,54112.1
2025-03-09,53388.3
2025-03-10,54905.8
2025-03-11,55253.5
2025-03-12,52957.8
2025-03-13,51181.8
2025-03-14,49488.5
2025-03-15,47867.6
2025-03-16,46793.3
2025-03-17,46817.1
2025-03-18,48720.0
2025-03-19,55151.3
2025-03-20,57001.2
2025-03-21,64156.5
2025-03-22,66893.1
2025-03-23,66388.4
2025-03-24,68074.1
2025-03-25,70328.5
2025-03-26,71313.6
2025-03-27,68558.7
2025-03-28,65778.1
2025-03-29,63887.9
2025-03-30,62169.3
2025-03-31,59787.5
2025-04-01,57888.0
2025-04-02,56951.3
2025-04-03,55612.7
2025-04-04,54613.3
2025-04-05,53991.0
2025-04-06,53078.2
2025-04-07,53137.4
2025-04-08,55817.7
2025-04-09,55427.0
2025-04-10,55916.9
2025-04-11,56432.1
2025-04-12,55902.0
2025-04-13,54705.6
2025-04-14,54391.1
2025-04-15,55761.9
2025-04-16,59845.4
2025-04-17,65458.5
2025-04-18,69992.2
2025-04-19,75461.1
2025-04-20,78464.7
2025-04-21,78935.8
2025-04-22,79189.8
2025-04-23,81934.1
2025-04-24,82787.1
2025-04-25,81754.1
2025-04-26,82799.0
2025-04-27,84132.4
2025-04-28,89425.6
2025-04-29,100153.3
2025-04-30,103893.0
2025-05-01,107528.0
2025-05-02,120954.9
2025-05-03,126965.2
2025-05-04,126731.1
2025-05-05,121981.9
2025-05-06,118499.5
2025-05-07,119145.8
2025-05-08,120750.8
2025-05-09,120437.4
2025-05-10,127984.0
2025-05-11,136878.7
2025-05-12,135218.1
2025-05-13,134179.9
2025-05-14,136159.9
2025-05-15,132444.4
2025-05-16,130227.1
2025-05-17,130895.5
2025-05-18,123668.6
2025-05-19,128257.7
2025-05-20,129473.0
2025-05-21,130956.2
2025-05-22,134114.2
2025-05-23,136139.6
2025-05-24,134381.8
2025-05-25,138340.0
2025-05-26,139210.2
2025-05-27,146264.3
2025-05-28,160670.5
2025-05-29,173830.2
2025-05-30,186617.3
2025-05-31,189695.2
2025-06-01,198817.5
2025-06-02,200422.6
2025-06-03,207524.0
2025-06-04,206482.7
2025-06-05,211726.9
2025-06-06,216035.4
2025-06-07,216278.0
2025-06-08,218656.6
2025-06-09,218680.1
2025-06-10,213706.1
2025-06-11,206278.1
2025-06-12,204408.2
2025-06-13,200696.8
2025-06-14,195559.9
2025-06-15,190877.0
2025-06-16,186978.7
2025-06-17,182179.4
2025-06-18,179884.6
2025-06-19,177097.9
2025-06-20,177126.9
2025-06-21,176050.8
2025-06-22,185034.4
2025-06-23,190982.4
2025-06-24,193244.7
2025-06-25,194348.7
2025-06-26,196198.9
2025-06-27,201923.4
2025-06-28,214629.0
2025-06-29,221106.2
2025-06-30,218010.8
2025-07-01,210749.0
2025-07-02,204491.0
2025-07-03,191454.2
2025-07-04,182813.9
2025-07-05,177354.1
2025-07-06,172794.5
2025-07-07,167921.1
2025-07-08,162734.5
2025-07-09,161608.1
2025-07-10,155846.0
2025-07-11,149030.9
2025-07-12,150637.9
2025-07-13,149671.7
2025-07-14,146307.4
2025-07-15,143546.4
2025-07-16,142311.5
2025-07-17,140318.4
2025-07-18,136619.5
2025-07-19,133976.4
2025-07-20,132462.8
2025-07-21,133108.1
2025-07-22,130864.6
2025-07-23,126858.3
2025-07-24,122481.0
2025-07-25,119699.1
2025-07-26,117872.8
2025-07-27,117197.3
2025-07-28,115174.6
2025-07-29,112883.5
2025-07-30,110356.3
2025-07-31,108534.0
2025-08-01,106389.9
2025-08-02,103732.7
2025-08-03,102136.9
2025-08-04,99945.7
2025-08-05,98599.0
2025-08-06,98590.9
2025-08-07,101170.2
2025-08-08,99869.5
2025-08-09,99074.5
2025-08-10,98401.0
2025-08-11,99427.0
2025-08-12,99866.6
2025-08-13,97897.6
2025-08-14,97456.4
2025-08-15,98062.9
2025-08-16,102070.1
2025-08-17,108474.4
2025-08-18,104325.4
2025-08-19,101457.3
2025-08-20,100330.4
2025-08-21,97850.9
2025-08-22,94345.4
2025-08-23,91000.1
2025-08-24,88846.6
2025-08-25,88128.3
2025-08-26,88756.1
2025-08-27,90754.2
2025-08-28,92749.8
2025-08-29,93359.9
2025-08-30,92759.8
2025-08-31,92137.3
2025-09-01,91369.2
2025-09-02,89319.6
2025-09-03,87550.1
2025-09-04,84894.3
2025-09-05,84792.9
2025-09-06,85363.9
2025-09-07,86408.0
2025-09-08,86763.9
2025-09-09,87828.3
2025-09-10,86884.5
2025-09-11,85443.2
2025-09-12,84130.7
2025-09-13,85337.4
2025-09-14,88574.7
2025-09-15,86523.7
2025-09-16,84820.5
2025-09-17,83700.3
2025-09-18,82523.8
2025-09-19,82929.7
2025-09-20,83859.4
2025-09-21,96359.1
2025-09-22,94811.8
2025-09-23,101115.6
2025-09-24,92722.2
2025-09-25,88466.2
2025-09-26,84905.2
2025-09-27,90441.7
2025-09-28,93264.0
2025-09-29,91337.9
2025-09-30,95062.1
2025-10-01,90558.4
2025-10-02,87036.2
2025-10-03,87310.8
2025-10-04,86431.7
2025-10-05,83521.3
2025-10-06,82683.4
2025-10-07,81932.4
2025-10-08,83333.0
2025-10-09,84952.8
2025-10-10,84731.8
2025-10-11,84100.6
2025-10-12,83127.2
2025-10-13,80977.8
2025-10-14,79599.4
2025-10-15,77911.5
2025-10-16,76779.7
2025-10-17,77014.8
2025-10-18,76689.3
2025-10-19,76328.1
2025-10-20,76871.9
2025-10-21,78288.2
2025-10-22,79843.9
2025-10-23,81235.5
2025-10-24,87411.5
2025-10-25,91383.1
2025-10-26,88352.7
2025-10-27,85217.5
2025-10-28,83409.4
2025-10-29,81785.6
2025-10-30,82934.2
2025-10-31,79728.3
2025-11-01,80733.8
2025-11-02,83092.9
2025-11-03,83716.1
2025-11-04,84409.9
2025-11-05,83106.5
2025-11-06,82817.0
2025-11-07,83492.9
2025-11-08,83148.7
2025-11-09,79396.7
2025-11-10,82252.3
2025-11-11,80906.1
2025-11-12,79313.7
2025-11-13,77885.1
2025-11-14,80169.2
2025-11-15,77818.8
2025-11-16,75457.2
2025-11-17,75080.4
2025-11-18,73318.3
2025-11-19,71172.5
2025-11-20,69687.6
2025-11-21,67892.9
2025-11-22,68508.3
2025-11-23,67831.3
2025-11-24,65746.2
2025-11-25,63339.0
2025-11-26,61841.4
2025-11-27,60647.0
2025-11-28,59383.2
2025-11-29,58155.2
2025-11-30,57855.3
2025-12-01,57315.6
2025-12-02,57196.0
2025-12-03,56330.4
2025-12-04,56100.7
2025-12-05,56986.3
2025-12-06,54641.0
2025-12-07,54522.2
2025-12-08,54852.5
2025-12-09,57288.6
2025-12-10,55783.1
2025-12-11,56605.6
2025-12-12,55661.4
2025-12-13,55026.5
2025-12-14,52903.2
2025-12-15,53509.4
2025-12-16,61235.4
2025-12-17,58401.4
2025-12-18,54862.3
2025-12-19,54927.9
2025-12-20,55136.9
2025-12-21,56440.4
2025-12-22,55471.3
2025-12-23,55454.0
2025-12-24,55565.8
2025-12-25,54483.8
2025-12-26,53182.4
2025-12-27,52026.7
2025-12-28,50876.9
2025-12-29,50000.8
2025-12-30,51627.0
2025-12-31,52582.6
